Financial_Entity,Financial_Entity_Text,Financial_Building_Block_Text,Segment_Text,BP_Group_Entities_Text,Region_Text,Country_Text,Area_Text,Field_Group_Text,BP_OBO_Text,MainPlan_Option_Text,Renewal_Selection_Text,Segment,BP_Group_Entities,Region,Country,Area,Field_Group,BP_OBO
9000000003,Project Ironwood,Base,G&LC,Gas,Frontier Region,Eastern Province,Sunrise Basin,Blackwater Complex,OBO,Main Plan,Main Plan,00003,02,80001,90001,80003,80004,02
9000000004,Project Silver Peak,Base,P&O,Oil,Falcon Territories,Falcon Region,Ironwood Asset,Ironwood Asset,BP,Main Plan,Main Plan,00002,01,80005,90002,80007,80007,01
9000000005,Project Granite Basin,Base,G&LC,Gas,Falcon Operations,Falcon Block,Silver Peak,Silver Peak,BP,Main Plan,Main Plan,00003,02,80009,90003,80011,80011,01
9000000006,Project Copper Bay,Base,P&O,Oil,Coastal Republic,Coastal Republic,Block Orion,Granite Basin,BP,Main Plan,Main Plan,00002,01,80013,90004,80015,80016,01
9000000007,Project Redcliff,Base,G&LC,Gas,Pacific Region,Southern Coast,Horizon Basin,Horizon Field,OBO,Main Plan,Main Plan,00003,02,80017,90005,80019,80020,02
9000000008,Project Northstar,Base,G&LC,Gas,Frontier Region,Eastern Province,Raven Operations,Raven Hub,OBO,Main Plan,Main Plan,00003,02,80001,90001,80023,80024,02
9000000009,Project Highland Crest,Base,G&LC,Gas,Meridian Region,Meridian Region,Meridian Operations,Cedar Point,OBO,Main Plan,Main Plan,00003,02,80025,90006,80027,80028,02
9000000010,Project Blue Horizon,Base,P&O,Oil,Central Oil Region,Desert Province,Desert Operations,Eagle Pass,OBO,Main Plan,Main Plan,00002,01,80029,90007,80031,80032,02
9000000011,Project Stonehaven,Base,P&O,Oil,Northern Shelf,Northern Shelf West,Central Shelf,Stonehaven,BP,Main Plan,Main Plan,00002,01,80033,90008,80035,80036,01
9000000012,Project Raven Rock,Base,G&LC,Gas,Island Region,Island Region,Island Region,Aurora Hub,BP,Main Plan,Main Plan,00003,02,80037,90009,80037,80040,01
