Financial Entity Key,Financial Entity,Financial Building Block,Segment,Group Entity,Region,Country,Area,Field Group,BP/OBO,Main Plan Option,Renewal Selection,Plan Type,Modelling_Case
9000000003,Project Ironwood,Base,G&LC,Gas,Frontier Region,Eastern Province,Sunrise Basin,Blackwater Complex,OBO,Main Plan,Main Plan,Main Plan,Project Ironwood |Main Plan
9000000004,Project Silver Peak,Base,P&O,Oil,Falcon Territories,Falcon Region,Ironwood Asset,Ironwood Asset,BP,Main Plan,Main Plan,Main Plan,Project Silver Peak |Main Plan
9000000005,Project Granite Basin,Base,G&LC,Gas,Falcon Operations,Falcon Block,Silver Peak,Silver Peak,BP,Main Plan,Main Plan,Main Plan,Project Granite Basin |Main Plan
9000000006,Project Copper Bay,Base,P&O,Oil,Coastal Republic,Coastal Republic,Block Orion,Granite Basin,BP,Main Plan,Main Plan,Main Plan,Project Copper Bay |Main Plan
9000000007,Project Redcliff,Base,G&LC,Gas,Pacific Region,Southern Coast,Horizon Basin,Horizon Field,OBO,Main Plan,Main Plan,Main Plan,Project Redcliff |Main Plan
9000000008,Project Northstar,Base,G&LC,Gas,Frontier Region,Eastern Province,Raven Operations,Raven Hub,OBO,Main Plan,Main Plan,Main Plan,Project Northstar |Main Plan
9000000009,Project Highland Crest,Base,G&LC,Gas,Meridian Region,Meridian Region,Meridian Operations,Cedar Point,OBO,Main Plan,Main Plan,Main Plan,Project Highland Crest |Main Plan
9000000010,Project Blue Horizon,Base,P&O,Oil,Central Oil Region,Desert Province,Desert Operations,Eagle Pass,OBO,Main Plan,Main Plan,Main Plan,Project Blue Horizon |Main Plan
9000000011,Project Stonehaven,Base,P&O,Oil,Northern Shelf,Northern Shelf West,Central Shelf,Stonehaven,BP,Main Plan,Main Plan,Main Plan,Project Stonehaven |Main Plan
9000000012,Project Raven Rock,Base,G&LC,Gas,Island Region,Island Region,Island Region,Aurora Hub,BP,Main Plan,Main Plan,Main Plan,Project Raven Rock |Main Plan
9000000013,Project Cedar Point,Base,P&O,Oil,Northern Shelf,Northern Shelf West,Central Shelf,Stonehaven,BP,Manual,Manual,Manual,Project Cedar Point |Manual
9000000014,Project Eagle Pass,Base,P&O,Oil,Western Hemisphere,Southern Republic,Sierra Basin,Pampa Cluster,BP,Manual,Manual,Manual,Project Eagle Pass |Manual
